Flow Bytes/s,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd Packets/s,Packet Length Variance,ACK Flag Count,Down/Up Ratio,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Seg Size Min,Idle Min
1.29E-07,0.000688333,0.000344167,0.000684593,0.00068625,2.08E-06,2.70E-07,0.000196995,1,0,0.003356934,0.003234863,0.571428571,2.27E-05
4.33E-05,0.000651592,9.31E-05,0.000221679,0.0003297,8.33E-09,3.90E-05,0.000802397,0,0,0.125015259,0.000930786,0.357142857,0
1.09E-08,0.539166667,0.18,0.439858491,0.538333333,2.15E-06,3.09E-08,0.000176567,1,0,0.003631592,0.003234863,0.571428571,0.000269241
3.90E-07,0.008966758,0.00224169,1.70E-05,0.002258308,0.002232767,1.86E-06,2.31E-05,0,0,0.125015259,0.99281311,0.357142857,0
0.000625062,4.80E-06,4.80E-06,0,4.80E-06,4.80E-06,0.000897666,0.0002149,0,0,1,0.500015259,0.357142857,0
-0.000395021,0.002602384,0.000156951,0.00065711,0.00108749,0.000296783,-0.000672352,-0.00029846,0.000282156,-0.000145409,0.410402373,0.002884178,0.57152469,-0.000368876
7.96E-07,0.014535967,0.002422661,0.003853836,0.007965917,0.001157492,1.85E-06,0.000196567,0,0,0.125015259,0.959121704,0.357142857,0
0.000413859,5.15E-06,1.72E-06,2.23E-06,3.37E-06,2.33E-07,0.002304147,5.82E-05,0,0.004219409,0.125015259,0.002288818,0.357142857,0
0.000134248,0,0,0,0,0,0.000932836,2.63E-06,0,0.004219409,0,0,0.142857143,0
1.71E-07,0.000252433,0.000126217,0.000197223,0.000224767,2.77E-05,3.67E-07,0.00019342,1,0,0.003356934,0.003234863,0.571428571,0
-0.000505321,-0.000321404,0.000950299,0.000572894,-0.000159609,0.000653712,-0.000390005,0.000305078,0.000290407,0.004278131,0.125381462,0.002315669,0.355990082,2.44E-05
4.04E-05,0.00013725,4.58E-05,9.88E-05,0.000126092,2.08E-07,0.000121396,0.000210546,0,0.004219409,1,0.003356934,0.357142857,0
6.67E-07,0.005485067,0.001371267,2.28E-05,0.00139535,0.00136195,3.80E-06,7.75E-06,0,0,0.125015259,1.53E-05,0.357142857,0
1.10E-07,0.97480045,0.040616683,0.194559682,0.4899077,8.33E-09,1.07E-07,0.000834348,0,0.004219409,0.125015259,0.001953125,0.357142857,0.000241795
0.000866663,-0.001038813,0.001069076,0.001002326,0.001709231,-9.87E-05,0.000657143,7.48E-05,-0.000116021,-0.000940792,-7.19E-05,3.16E-05,0.143521851,-4.88E-06
-0.000711803,0.421248546,-0.000905628,0.002858375,0.023859486,-0.00295328,-0.000386184,0.001826609,-0.012942144,0.005118269,0.051017367,0.019235449,-0.007291188,-0.0006461
4.08E-07,0.0111205,0.003706833,0.009082023,0.011117658,2.33E-07,1.50E-06,0.000222588,0,0.004219409,0.125015259,0.003234863,0.357142857,0
-0.000103479,0.011606782,0.003982045,0.009131039,0.011492801,0.000137308,-0.000290251,7.75E-05,0.00012804,0.003989865,0.125565298,0.003237634,0.357029826,-0.000208947
0,0,0,0,0,0,0,0,1,0,0.031280518,0,0.357142857,2.49E-05
8.06E-07,0.0144445,0.002407417,0.003846992,0.007945217,0.001169433,1.87E-06,0.000196567,0,0,0.125015259,0.959121704,0.357142857,0
